Andre Schneider de Oliveira,UTFPR
Denis Fernando Wolf,ICMC/USP
Douglas Guimaraes Macharet,UFMG
Edson Prestes e Silva,UFRGS
Eduardo Viegas,PUCPR
Erickson Rangel do Nascimento,UFMG
Gabriel de Oliveira Ramos,Unisinos
Genaina Rodrigues,UnB
Guilherme Sousa Bastos,UNIFEI
Gustavo Batista,ICMC/USP
Gustavo Pessin,ITV
Hansenclever Bassani,UFPE
Hector Azpurua,UFMG
Joao Fabro,UTFPR
Jomi Hubner,UFSC
Jorge Luis Victoria Barbosa,Unisinos
Kelen Vivaldini,UFSCar
Luiz Chaimowicz,UFMG
Marco Antonio Simoes Teixeira,PUCPR
Marcos Vieira,UFMG
Mariana Kolberg,UFRGS
Mario Fernando Montenegro Campos,UFMG
Moises Ribeiro,UFES
Paulo Lilles Jorge Drews Junior,FURG
Renan Maffei,UFRGS
Renato Assuncao,UFMG
Roberto Cesar Junior,IME/USP
Roseli Francelin Romero,ICMC/USP
Silvia Costa Botelho,FURG
Tiago Pereira do Nascimento,UFPB
